FID	IID	Ala	Arg	Asp	Glu	Gly	His	Ile	Leu	Lys	Phe	Pro	Ser	Thr	Tyr	Val
Zhonghuang 15	Zhonghuang 15	17.7	27.9	45.2	71.1	15.6	9.8	16.8	26.4	23.3	19	27.9	18.1	15.8	12.3	16.8
Xinbada 2	Xinbada 2	17.3	25.5	43.9	66.6	15.2	9.6	16.8	26.1	23.1	17.7	23.6	17.7	15.6	12.2	16.1
Jiwuxing 1	Jiwuxing 1	18.6	29.8	45.9	70.8	15.6	10.3	17.5	27.6	23.4	19	25.2	18.6	16	12.5	18
Shuyangchunheidoubing	Shuyangchunheidoubing	19	30.9	46.7	70.3	16.4	10.6	17.6	27.2	24.3	19.8	25.9	19.1	16.7	12.5	17.1
L78-379	L78-379	17.4	26.6	45	68.8	15.2	9.9	16.3	26	23.4	18.3	24.6	18.6	15.9	12.4	15.6
Zheng 02060-0-7-2	Zheng 02060-0-7-2	18.7	29	45.8	70	15.7	9.7	17.3	26.9	23.7	19.9	26.2	18.8	16.3	12.2	16.4
Yudou 18	Yudou 18	17.9	30.1	43.6	64.1	14.8	9.4	15.6	24.9	22.1	17.7	23.2	17.2	15.2	11.2	16
L88-8431	L88-8431	17.4	25	42.8	64.7	15	9.5	16.1	24.6	22.6	17.4	21.8	17.4	15.4	11.8	16.3
Chaleston	Chaleston	17.7	25.1	43.9	67.3	15.4	9.5	16.2	25.3	23.1	17.5	22.9	18	15.6	11.5	16.6
Franklin	Franklin	16.6	24.5	42.5	63.4	14.4	9.3	16.1	25.9	22	17.2	21.5	17.3	15	12	15.4
L85-2378	L85-2378	17.8	25.7	42.6	66.1	14.7	9.6	16.6	25.9	22.4	18.2	24.7	17.3	15.3	11.9	16.4
Pixie	Pixie	16.3	26.8	40.9	66.2	15.7	10	17.9	30.1	23.8	18.6	21.2	17.9	14.2	12.7	19.2
L82-2020	L82-2020	17.1	25.1	43.2	62.8	15.2	9.3	16	25.8	22.6	17.7	24.5	17.3	15.6	12.5	14.4
Miyunlaoyelian	Miyunlaoyelian	17.1	26.9	46	67	16.2	9.9	15.6	25.1	23.6	18.1	24.6	18.5	16.4	12.2	14.8
L77-1863	L77-1863	18.1	28	47.6	69.5	16.3	9.9	16.4	26.5	23.9	19	26.6	19	16.7	12.7	15.2
Longjiangdali ? Su	Longjiangdali ? Su	20	32.2	51.5	75.7	18.2	11	18	28.1	26.2	20.9	28.6	20.3	18.1	13.7	16.9
Zhongpin 661	Zhongpin 661	16.9	25.1	43.8	62.9	15.1	9.4	15.4	25.3	22.8	17.8	27.1	17.6	15.5	12.4	13.9
